collectionType,setName,requiredPieceCount,gorgeousMagicPetName,pieceName,category,setRole,obtainType,obtainMethod,obtained,rawText,notes
single,,,,包挂饰-巡林者之证,包挂饰,,standard,待补充,是,包挂饰-巡林者之证,待核对套装归属
single,,,,包挂饰-神秘饼干,包挂饰,,standard,待补充,是,包挂饰-神秘饼干,待核对套装归属
single,,,,包挂饰-燃了鸭,包挂饰,,standard,待补充,是,包挂饰-燃了鸭,待核对套装归属
single,,,,初始法杖,法杖,,standard,待补充,是,初始法杖,待核对套装归属
single,,,,幻影星光法杖,法杖,,standard,待补充,是,幻影星光法杖,待核对套装归属
single,,,,飓风行迹法杖,法杖,,standard,待补充,是,飓风行迹法杖,待核对套装归属
single,,,,壁炉伙伴主题法杖,法杖,,standard,待补充,是,壁炉伙伴主题法杖,待核对套装归属
single,,,,初始发型1,发型,,standard,待补充,是,初始发型1,待核对套装归属
single,,,,初始发型2,发型,,standard,待补充,是,初始发型2,待核对套装归属
single,,,,初始发型3,发型,,standard,待补充,是,初始发型3,待核对套装归属
single,,,,面妆1,面饰,,standard,待补充,是,面妆1,待核对套装归属
single,,,,面妆2,面饰,,standard,待补充,是,面妆2,待核对套装归属
single,,,,面妆3,面饰,,standard,待补充,是,面妆3,待核对套装归属
single,,,,面妆4,面饰,,standard,待补充,是,面妆4,待核对套装归属
single,,,,面妆5,面饰,,standard,待补充,是,面妆5,待核对套装归属
single,,,,面妆6,面饰,,standard,待补充,是,面妆6,待核对套装归属
single,,,,面妆7,面饰,,standard,待补充,是,面妆7,待核对套装归属
single,,,,面妆8,面饰,,standard,待补充,是,面妆8,待核对套装归属
set,音速犬印象,6,音速犬,面饰-音速犬印象,面饰,optional,paid,单独充值购买解锁,否,面饰-音速犬印象,
set,音速犬印象,6,音速犬,游侠发型-音速犬印象,发型,optional,paid,单独充值购买解锁,否,游侠发型-音速犬印象,
set,音速犬印象,6,音速犬,包挂饰-护主犬,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-护主犬,
set,音速犬印象,6,音速犬,华丽徽章-音速犬,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-音速犬,
set,岚鸟印象,6,岚鸟,面饰-岚鸟印象,面饰,optional,paid,单独充值购买解锁,否,面饰-岚鸟印象,
set,岚鸟印象,6,岚鸟,游侠发型-岚鸟印象,发型,optional,paid,单独充值购买解锁,否,游侠发型-岚鸟印象,
set,岚鸟印象,6,岚鸟,包挂饰-雪绒鸟,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-雪绒鸟,
set,岚鸟印象,6,岚鸟,华丽徽章-岚鸟,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-岚鸟,
set,厉毒修萝印象,6,厉毒修萝,面饰-厉毒修萝印象,面饰,optional,paid,单独充值购买解锁,否,面饰-厉毒修萝印象,
set,厉毒修萝印象,6,厉毒修萝,游侠发型-厉毒修萝印象,发型,optional,paid,单独充值购买解锁,否,游侠发型-厉毒修萝印象,
set,厉毒修萝印象,6,厉毒修萝,包挂饰-厉毒小萝,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-厉毒小萝,
set,厉毒修萝印象,6,厉毒修萝,华丽徽章-厉毒修萝,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-厉毒修萝,
set,圣代甜甜印象,6,圣代甜甜,雪山发型-圣代甜甜印象,发型,optional,paid,单独充值购买解锁,否,雪山发型-圣代甜甜印象,
set,圣代甜甜印象,6,圣代甜甜,华丽徽章-圣代甜甜,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-圣代甜甜,
set,爵士鹿印象,6,爵士鹿,面饰-爵士鹿印象,面饰,optional,paid,单独充值购买解锁,否,面饰-爵士鹿印象,
set,爵士鹿印象,6,爵士鹿,壁炉伙伴发型-爵士鹿印象,发型,optional,paid,单独充值购买解锁,否,壁炉伙伴发型-爵士鹿印象,
set,爵士鹿印象,6,爵士鹿,包挂饰-电动长颈鹿,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-电动长颈鹿,
set,爵士鹿印象,6,爵士鹿,华丽徽章-爵士鹿,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-爵士鹿,
set,熔岩布丁印象,6,熔岩布丁,面饰-熔岩布丁印象,面饰,optional,paid,单独充值购买解锁,否,面饰-熔岩布丁印象,
set,熔岩布丁印象,6,熔岩布丁,壁炉伙伴发型-熔岩布丁印象,发型,optional,paid,单独充值购买解锁,否,壁炉伙伴发型-熔岩布丁印象,
set,熔岩布丁印象,6,熔岩布丁,包挂饰-果冻,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-果冻,
set,熔岩布丁印象,6,熔岩布丁,华丽徽章-熔岩布丁,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-熔岩布丁,
set,蹦蹦花印象,6,蹦蹦花,面妆-蹦蹦花印象,面饰,optional,paid,单独充值购买解锁,否,面妆-蹦蹦花印象,
set,蹦蹦花印象,6,蹦蹦花,壁炉伙伴发型-蹦蹦花印象,发型,optional,paid,单独充值购买解锁,否,壁炉伙伴发型-蹦蹦花印象,
set,蹦蹦花印象,6,蹦蹦花,包挂饰-蹦蹦种子,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-蹦蹦种子,
set,蹦蹦花印象,6,蹦蹦花,华丽徽章-蹦蹦花,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-蹦蹦花,
set,星光狮印象,6,星光狮,面妆-星光狮印象,面饰,optional,paid,单独充值购买解锁,否,面妆-星光狮印象,
set,星光狮印象,6,星光狮,圣骑士发型-星光狮印象,发型,optional,paid,单独充值购买解锁,否,圣骑士发型-星光狮印象,
set,星光狮印象,6,星光狮,包挂饰-小星光,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小星光,
set,星光狮印象,6,星光狮,华丽徽章-星光狮,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-星光狮,
set,烈火守护印象,6,烈火守护,面妆-烈火守护印象,面饰,optional,paid,单独充值购买解锁,否,面妆-烈火守护印象,
set,烈火守护印象,6,烈火守护,圣骑士发型-烈火守护印象,发型,optional,paid,单独充值购买解锁,否,圣骑士发型-烈火守护印象,
set,烈火守护印象,6,烈火守护,包挂饰-火尾瓦特,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-火尾瓦特,
set,烈火守护印象,6,烈火守护,华丽徽章-烈火守护,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-烈火守护,
set,皇家狮鹫印象,6,皇家狮鹫,面妆-皇家狮鹫印象,面饰,optional,paid,单独充值购买解锁,否,面妆-皇家狮鹫印象,
set,皇家狮鹫印象,6,皇家狮鹫,圣骑士发型-皇家狮鹫印象,发型,optional,paid,单独充值购买解锁,否,圣骑士发型-皇家狮鹫印象,
set,皇家狮鹫印象,6,皇家狮鹫,包挂饰-小狮鹫,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小狮鹫,
set,皇家狮鹫印象,6,皇家狮鹫,华丽徽章-皇家狮鹫,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-皇家狮鹫,
set,翠顶夫人印象,6,翠顶夫人,眼型-翠顶夫人印象,面饰,optional,paid,单独充值购买解锁,否,眼型-翠顶夫人印象,
set,翠顶夫人印象,6,翠顶夫人,舞会发型-翠顶夫人印象,发型,optional,paid,单独充值购买解锁,否,舞会发型-翠顶夫人印象,
set,翠顶夫人印象,6,翠顶夫人,包挂饰-乖乖鹄,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-乖乖鹄,
set,翠顶夫人印象,6,翠顶夫人,华丽徽章-翠顶夫人,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-翠顶夫人,
set,花魁蜂后印象,6,花魁蜂后,组件-花魁蜂后印象,面饰,optional,paid,单独充值购买解锁,否,组件-花魁蜂后印象,待核对具体面部类型
set,花魁蜂后印象,6,花魁蜂后,舞会发型-花魁蜂后印象,发型,optional,paid,单独充值购买解锁,否,舞会发型-花魁蜂后印象,
set,花魁蜂后印象,6,花魁蜂后,包挂饰-一窝蜂,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-一窝蜂,
set,花魁蜂后印象,6,花魁蜂后,华丽徽章-花魁蜂后,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-花魁蜂后,
set,卡洛儿印象,6,卡洛儿,眼型-卡洛儿印象,面饰,optional,paid,单独充值购买解锁,否,眼型-卡洛儿印象,
set,卡洛儿印象,6,卡洛儿,舞会发型-卡洛儿印象,发型,optional,paid,单独充值购买解锁,否,舞会发型-卡洛儿印象,
set,卡洛儿印象,6,卡洛儿,包挂饰-甜田螺,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-甜田螺,
set,卡洛儿印象,6,卡洛儿,华丽徽章-卡洛儿,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-卡洛儿,
set,獠牙猪印象,6,獠牙猪,雪山发型-獠牙猪印象,发型,optional,paid,单独充值购买解锁,否,雪山发型-獠牙猪印象,
set,獠牙猪印象,6,獠牙猪,华丽徽章-獠牙猪,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-獠牙猪,
set,蒲公英娃娃印象,6,蒲公英娃娃,雪山发型-蒲公英娃娃印象,发型,optional,paid,单独充值购买解锁,否,雪山发型-蒲公英娃娃印象,
set,蒲公英娃娃印象,6,蒲公英娃娃,华丽徽章-蒲公英娃娃,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-蒲公英娃娃,
set,雪灵印象,6,雪灵,雪山发型-雪灵印象,发型,optional,paid,单独充值购买解锁,否,雪山发型-雪灵印象,
set,雪灵印象,6,雪灵,华丽徽章-雪灵,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-雪灵,
set,花衣蝶印象,6,花衣蝶,眼型-花衣蝶印象,面饰,optional,paid,单独充值购买解锁,否,眼型-花衣蝶印象,
set,花衣蝶印象,6,花衣蝶,童话发型-花衣蝶印象,发型,optional,paid,单独充值购买解锁,否,童话发型-花衣蝶印象,
set,花衣蝶印象,6,花衣蝶,包挂饰-小草虫,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小草虫,
set,花衣蝶印象,6,花衣蝶,华丽徽章-花衣蝶,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-花衣蝶,
set,红绒十字印象,6,红绒十字,面饰-红绒十字印象,面饰,optional,paid,单独充值购买解锁,否,面饰-红绒十字印象,
set,红绒十字印象,6,红绒十字,童话发型-红绒十字印象,发型,optional,paid,单独充值购买解锁,否,童话发型-红绒十字印象,
set,红绒十字印象,6,红绒十字,包挂饰-治愈兔,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-治愈兔,
set,红绒十字印象,6,红绒十字,华丽徽章-红绒十字,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-红绒十字,
set,白金独角兽印象,6,白金独角兽,瞳孔-白金独角兽印象,面饰,optional,paid,单独充值购买解锁,否,瞳孔-白金独角兽印象,
set,白金独角兽印象,6,白金独角兽,童话发型-白金独角兽印象,发型,optional,paid,单独充值购买解锁,否,童话发型-白金独角兽印象,
set,白金独角兽印象,6,白金独角兽,包挂饰-小独角兽,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小独角兽,
set,白金独角兽印象,6,白金独角兽,华丽徽章-白金独角兽,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-白金独角兽,
set,魔草巫灵印象,7,魔草巫灵,考察队发型-魔草巫灵印象,发型,optional,paid,单独充值购买解锁,否,考察队发型-魔草巫灵印象,待核对：用户服装资料为“魔草巫灵”，pets.json 主名称为“魔草精灵”
set,魔草巫灵印象,7,魔草巫灵,华丽徽章-魔草巫灵,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-魔草巫灵,待核对：用户服装资料为“魔草巫灵”，pets.json 主名称为“魔草精灵”
set,奇丽花印象,7,奇丽花,考察队发型-奇丽花印象,发型,optional,paid,单独充值购买解锁,否,考察队发型-奇丽花印象,
set,奇丽花印象,7,奇丽花,华丽徽章-奇丽花,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-奇丽花,
set,高脚鹬印象,7,高脚鹬,考察队发型-高脚鹬印象,发型,optional,paid,单独充值购买解锁,否,考察队发型-高脚鹬印象,
set,高脚鹬印象,7,高脚鹬,华丽徽章-高脚鹬,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-高脚鹬,
set,魔眷鸟印象,7,魔眷鸟,考察队发型-魔眷鸟印象,发型,optional,paid,单独充值购买解锁,否,考察队发型-魔眷鸟印象,
set,魔眷鸟印象,7,魔眷鸟,华丽徽章-魔眷鸟,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-魔眷鸟,
set,梦悠悠印象,6,梦悠悠,睡衣派对发型-梦悠悠印象,发型,optional,paid,单独充值购买解锁,否,睡衣派对发型-梦悠悠印象,
set,梦悠悠印象,6,梦悠悠,华丽徽章-梦悠悠,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-梦悠悠,
set,电球咩咩印象,6,电球咩咩,睡衣派对发型-电球咩咩印象,发型,optional,paid,单独充值购买解锁,否,睡衣派对发型-电球咩咩印象,
set,电球咩咩印象,6,电球咩咩,华丽徽章-电球咩咩,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-电球咩咩,
set,雪影娃娃印象,6,雪影娃娃,睡衣派对发型-雪影娃娃印象,发型,optional,paid,单独充值购买解锁,否,睡衣派对发型-雪影娃娃印象,
set,雪影娃娃印象,6,雪影娃娃,华丽徽章-雪影娃娃,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-雪影娃娃,
set,幽冥眼印象,6,幽冥眼,睡衣派对发型-幽冥眼印象,发型,optional,paid,单独充值购买解锁,否,睡衣派对发型-幽冥眼印象,
set,幽冥眼印象,6,幽冥眼,华丽徽章-幽冥眼,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-幽冥眼,
set,嘟嘟锅印象,6,嘟嘟锅,面饰-嘟嘟锅印象,面饰,optional,paid,单独充值购买解锁,否,面饰-嘟嘟锅印象,
set,嘟嘟锅印象,6,嘟嘟锅,炼金药剂发型-嘟嘟锅印象,发型,optional,paid,单独充值购买解锁,否,炼金药剂发型-嘟嘟锅印象,
set,嘟嘟锅印象,6,嘟嘟锅,包挂饰-嘟嘟煲,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-嘟嘟煲,
set,嘟嘟锅印象,6,嘟嘟锅,华丽徽章-嘟嘟锅,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-嘟嘟锅,
set,琉璃水母印象,6,琉璃水母,面饰-琉璃水母印象,面饰,optional,paid,单独充值购买解锁,否,面饰-琉璃水母印象,
set,琉璃水母印象,6,琉璃水母,炼金药剂发型-琉璃水母,发型,optional,paid,单独充值购买解锁,否,炼金药剂发型-琉璃水母,
set,琉璃水母印象,6,琉璃水母,包挂饰-翡翠水母,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-翡翠水母,
set,琉璃水母印象,6,琉璃水母,华丽徽章-琉璃水母,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-琉璃水母,
set,九幽菇印象,6,九幽菇,面饰-九幽菇印象,面饰,optional,paid,单独充值购买解锁,否,面饰-九幽菇印象,
set,九幽菇印象,6,九幽菇,炼金药剂发型-九幽菇,发型,optional,paid,单独充值购买解锁,否,炼金药剂发型-九幽菇,
set,九幽菇印象,6,九幽菇,包挂饰-菇菇丁,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-菇菇丁,
set,九幽菇印象,6,九幽菇,华丽徽章-九幽菇,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-九幽菇,
set,圆号鱼印象,7,圆号鱼,吟游诗人发型-圆号鱼,发型,optional,paid,单独充值购买解锁,否,吟游诗人发型-圆号鱼,
set,圆号鱼印象,7,圆号鱼,华丽徽章-圆号鱼,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-圆号鱼,
set,蹦床松鼠印象,7,蹦床松鼠,吟游诗人发型-蹦床松鼠,发型,optional,paid,单独充值购买解锁,否,吟游诗人发型-蹦床松鼠,
set,蹦床松鼠印象,7,蹦床松鼠,华丽徽章-蹦床松鼠,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-蹦床松鼠,
set,卡瓦重印象,7,卡瓦重,吟游诗人发型-卡瓦重,发型,optional,paid,单独充值购买解锁,否,吟游诗人发型-卡瓦重,
set,卡瓦重印象,7,卡瓦重,华丽徽章-卡瓦重,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-卡瓦重,
set,里拉鳐印象,7,里拉鳐,吟游诗人发型-里拉鳐,发型,optional,paid,单独充值购买解锁,否,吟游诗人发型-里拉鳐,
set,里拉鳐印象,7,里拉鳐,华丽徽章-里拉鳐,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-里拉鳐,
set,幻影灵菇印象,6,幻影灵菇,口罩-幻影灵菇印象,面饰,optional,paid,单独充值购买解锁,否,口罩-幻影灵菇印象,
set,幻影灵菇印象,6,幻影灵菇,梦境流浪者发型-幻影灵菇,发型,optional,paid,单独充值购买解锁,否,梦境流浪者发型-幻影灵菇,
set,幻影灵菇印象,6,幻影灵菇,包挂饰-小灵菇,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小灵菇,
set,幻影灵菇印象,6,幻影灵菇,华丽徽章-幻影灵菇,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-幻影灵菇,
set,怖哭菇印象,6,怖哭菇,瞳孔-怖哭菇印象,面饰,optional,paid,单独充值购买解锁,否,瞳孔-怖哭菇印象,
set,怖哭菇印象,6,怖哭菇,梦境流浪者发型-怖哭菇,发型,optional,paid,单独充值购买解锁,否,梦境流浪者发型-怖哭菇,
set,怖哭菇印象,6,怖哭菇,包挂饰-哭哭菇,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-哭哭菇,
set,怖哭菇印象,6,怖哭菇,华丽徽章-怖哭菇,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-怖哭菇,
set,流浪鼠印象,6,流浪鼠,面饰-流浪鼠印象,面饰,optional,paid,单独充值购买解锁,否,面饰-流浪鼠印象,
set,流浪鼠印象,6,流浪鼠,梦境流浪者发型-流浪鼠,发型,optional,paid,单独充值购买解锁,否,梦境流浪者发型-流浪鼠,
set,流浪鼠印象,6,流浪鼠,包挂饰-奔波鼠,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-奔波鼠,
set,流浪鼠印象,6,流浪鼠,华丽徽章-流浪鼠,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-流浪鼠,
set,咕德帽帽印象,7,咕德帽帽,魔法嘉年华发型-咕德帽帽,发型,optional,paid,单独充值购买解锁,否,魔法嘉年华发型-咕德帽帽,
set,咕德帽帽印象,7,咕德帽帽,华丽徽章-咕德帽帽,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-咕德帽帽,
set,巨鼓象印象,7,巨鼓象,魔法嘉年华发型-巨鼓象,发型,optional,paid,单独充值购买解锁,否,魔法嘉年华发型-巨鼓象,
set,巨鼓象印象,7,巨鼓象,华丽徽章-巨鼓象,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-巨鼓象,
set,烟花伯爵印象,7,烟花伯爵,魔法嘉年华发型-烟花伯爵,发型,optional,paid,单独充值购买解锁,否,魔法嘉年华发型-烟花伯爵,
set,烟花伯爵印象,7,烟花伯爵,华丽徽章-烟花伯爵,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-烟花伯爵,
set,小丑公爵印象,7,,魔法嘉年华发型-小丑公爵,发型,optional,paid,单独充值购买解锁,否,魔法嘉年华发型-小丑公爵,
set,小丑公爵印象,7,,魔法徽章-小丑公爵,华丽徽章,optional,paid,单独充值购买解锁,否,魔法徽章-小丑公爵,待核对徽章名称
set,海豹船长印象,6,海豹船长,面饰-海豹船长印象,面饰,optional,paid,单独充值购买解锁,否,面饰-海豹船长印象,
set,海豹船长印象,6,海豹船长,深海的馈赠发型-海豹船长,发型,optional,paid,单独充值购买解锁,否,深海的馈赠发型-海豹船长,
set,海豹船长印象,6,海豹船长,包挂饰-海豹战士,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-海豹战士,
set,海豹船长印象,6,海豹船长,华丽徽章-海豹船长,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-海豹船长,
set,千棘盔印象,6,千棘盔,面妆-千棘盔印象,面饰,optional,paid,单独充值购买解锁,否,面妆-千棘盔印象,
set,千棘盔印象,6,千棘盔,深海的馈赠发型-千棘盔,发型,optional,paid,单独充值购买解锁,否,深海的馈赠发型-千棘盔,
set,千棘盔印象,6,千棘盔,包挂饰-海盔虫,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-海盔虫,
set,千棘盔印象,6,千棘盔,华丽徽章-千棘盔,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-千棘盔,
set,迷迷箱怪印象,6,迷迷箱怪,眼型-迷迷箱怪印象,面饰,optional,paid,单独充值购买解锁,否,眼型-迷迷箱怪印象,
set,迷迷箱怪印象,6,迷迷箱怪,深海的馈赠发型-迷迷箱怪,发型,optional,paid,单独充值购买解锁,否,深海的馈赠发型-迷迷箱怪,
set,迷迷箱怪印象,6,迷迷箱怪,包挂饰-小箱怪,包挂饰,optional,paid,单独充值购买解锁,否,包挂饰-小箱怪,
set,迷迷箱怪印象,6,迷迷箱怪,华丽徽章-迷迷箱怪,华丽徽章,optional,paid,单独充值购买解锁,否,华丽徽章-迷迷箱怪,
set,宁静星原,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,精灵学院分院服,4,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,炼金学院分院服,4,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,橙花的追忆,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,唱诗班的礼赞,5,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色獠牙猪,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色红绒十字,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色白金独角兽印象,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色奇丽花印象,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色雪影娃娃,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色嘟嘟锅印象,6,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色咕德帽帽印象,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色巨鼓象印象,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色烟花伯爵印象,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,异色小丑公爵印象,7,,,,,,待补充,,,仅记录套装定义，部件名称待补充
set,轻风省的果实,3,,,,,,待补充,,,仅记录套装定义，部件名称待补充
